word	freq/10M
บริษัท	10922.1
ร่วม	10870.2
ออก	10858.9
อายุ	10844.3
ระหว่าง	10800.6
พล	10760.1
โครงการ	10378.0
รถ	10340.7
จัด	10170.7
ผ่าน	10156.1
หลาย	10128.6
รัฐบาล	10052.5
ขอ	9995.8
หลัง	9991.0
กรณี	9971.5
ทุก	9948.9
ฯ	9900.3
น้ำ	9893.8
เดินทาง	9866.3
ทีม	9793.4
ทั้งนี้	9790.2
เนื่องจาก	9701.1
เขา	9691.4
เดือน	9568.3
ต่างๆ	9442.0
ราย	9417.7
ตัว	9344.9
งาน	9197.5
เห็น	9170.0
ดำเนินการ	9148.9
6	9084.2
หนึ่ง	9000.0
ชัย	8946.5
ต่อไป	8933.6
รอง	8857.5
จน	8851.0
ผม	8765.2
ประมาณ	8758.7
กำลัง	8724.7
ภายใน	8706.9
ตั้งแต่	8648.6
คดี	8606.5
แจ้ง	8493.1
เข้ามา	8481.8
เงิน	8462.4
เปิดเผย	8430.0
อะไร	8310.2
คณะกรรมการ	8308.5
ทราบ	8247.0
ตำรวจ	8104.5
10	8015.5
ถ้า	7955.5
ต.	7942.6
หรือไม่	7926.4
ช่วย	7775.8
อยาก	7743.4
เคย	7702.9
เปิด	7693.2
แบบ	7686.7
ระบุ	7622.0
วันนี้	7615.5
ข้อมูล	7591.2
รวม	7579.9
ออกมา	7547.5
เป็นการ	7521.6
นาง	7497.3
คิด	7416.3
ถนน	7380.7
2560	7374.2
7	7361.3
ส	7269.0
ทั้งหมด	7058.5
เขต	7039.0
เลย	7037.4
ประธาน	7019.6
ระบบ	6964.5
วัด	6872.2
พัฒนา	6854.4
ภาค	6852.8
บน	6776.7
ระดับ	6749.2
ฝ่าย	6734.6
เพียง	6665.0
คณะ	6652.0
จุด	6652.0
โลก	6606.7
สูง	6537.0
9	6499.8
กฎหมาย	6454.5
ที่สุด	6452.8
ชุด	6444.7
อดีต	6417.2
2559	6407.5
เพื่อให้	6401.0
ชาว	6344.4
ราคา	6329.8
แห่งชาติ	6310.3
บาง	6265.0
เพิ่ม	6239.1
ขณะที่	6200.2
อาจ	6169.5
ครั้ง	6154.9
ดู	6122.5
ขณะนี้	6098.2
ใคร	6086.9
เกิดขึ้น	6072.3
ดูแล	6025.4
แก่	6022.1
สอบสวน	5996.2
ร่วมกัน	5986.5
ผู้สื่อข่าว	5983.3
กำหนด	5934.7
ปัญหา	5886.1
เด็ก	5881.2
จำกัด	5874.8
รัฐ	5855.3
8	5831.0
น.ส.	5826.2
สังคม	5806.7
ชาติ	5787.3
รวมถึง	5771.1
ใช่	5756.6
เกี่ยวข้อง	5735.5
สำนักงาน	5725.8
รักษา	5709.6
ตรวจ	5662.6
สินค้า	5646.4
โรงเรียน	5635.1
สำคัญ	5575.2
ใหญ่	5544.4
ธุรกิจ	5525.0
คสช.	5500.7
เข้าไป	5486.1
พิจารณา	5482.9
นอกจากนี้	5468.3
หน่วยงาน	5457.0
20	5421.4
ชาวบ้าน	5410.0
รอบ	5392.2
มัน	5390.6
เริ่ม	5376.0
มาจาก	5374.4
แรก	5364.7
ศูนย์	5348.5
กลับ	5333.9
ซื้อ	5332.3
30	5309.6
สี	5298.3
ริ	5287.0
สิ่ง	5257.8
ละ	5204.4
ขาย	5204.4
หา	5180.1
การศึกษา	5162.3
ขอให้	5159.0
สิทธิ	5147.7
ครั้งนี้	5131.5
ศรี	5128.3
การพัฒนา	5113.7
ผล	5099.1
บริการ	5068.4
ทอง	5063.5
ปรับ	5055.4
ณ	5036.0
ข่าว	5034.4
เช่น	5026.3
รา	4995.5
ตั้ง	4980.9
ทุกคน	4959.9
พิเศษ	4958.2
ประกาศ	4953.4
นา	4934.0
เกี่ยวกับ	4934.0
ซี	4932.3
สนับสนุน	4925.9
ปัจจุบัน	4906.4
อี	4890.2
อย่างไรก็ตาม	4867.6
ล่าสุด	4865.9
สภ.	4857.8
15	4856.2
คง	4840.0
คาด	4812.5
ผู้ต้องหา	4780.1
ชุมชน	4776.9
รัฐมนตรี	4762.3
ครู	4723.4
หน้า	4721.8
ตลาด	4717.0
ว่าการ	4710.5
เจ้าหน้าที่ตำรวจ	4705.6
หลังจาก	4699.2
สม	4692.7
นโยบาย	4691.1
อย่างไร	4686.2
สู่	4634.4
ยังมี	4631.1
รอ	4631.1
มีนาคม	4603.6
ยา	4597.1
สาย	4556.7
เอา	4535.6
ทำงาน	4534.0
นายกรัฐมนตรี	4498.4
โรงพยาบาล	4462.7
ศาล	4456.3
จับกุม	4456.3
เศรษฐกิจ	4427.1
เมษายน	4422.3
เล่น	4407.7
ช่วยเหลือ	4388.3
จีน	4376.9
ศักดิ์	4357.5
ภาพ	4354.3
เบื้องต้น	4351.0
การเลือกตั้ง	4346.2
โดยเฉพาะ	4346.2
ลด	4341.3
น้อย	4331.6
ท่าน	4313.8
ยืนยัน	4310.5
มาตรา	4291.1
ส่งเสริม	4286.2
ถาม	4281.4
เกิน	4271.7
ควร	4263.6
เตรียม	4249.0
รถยนต์	4247.4
กลาง	4245.8
รวมทั้ง	4229.6
ดังนั้น	4226.3
ชาย	4195.6
เดิน	4193.9
เอง	4192.3
แม่	4190.7
ธ.	4189.1
อำเภอ	4187.5
รัฐธรรมนูญ	4185.8
ก.	4184.2
มหาวิทยาลัย	4158.3
เลือก	4151.8
รู้	4125.9
ตนเอง	4124.3
บุคคล	4122.7
ติดตาม	4122.7
คัน	4117.8
เสนอ	4098.4
ประกอบ	4096.8
เสียชีวิต	4090.3
หมู่	4085.5
จำนวนมาก	4075.7
ต่อเนื่อง	4070.9
หัวหน้า	4061.2
กร	4048.2
ติด	4028.8
พรรค	4022.3
ต้องการ	3994.8
จันทร์	3985.1
ทหาร	3981.8
ลูกค้า	3975.3
ลูก	3970.5
สุ	3943.0
เท่านั้น	3933.2
อาหาร	3921.9
ป้องกัน	3917.0
เดิม	3913.8
จากนั้น	3908.9
12	3907.3
มากกว่า	3905.7
ฉบับ	3887.9
เหตุ	3886.3
อันดับ	3879.8
นัก	3868.5
บอก	3866.8
คุณ	3862.0
ร่วมกับ	3842.6
เก็บ	3828.0
เรียก	3824.7
ข้าว	3818.3
ในประเทศ	3813.4
นายกฯ	3808.6
เพิ่มเติม	3803.7
พฤษภาคม	3802.1
กุมภาพันธ์	3802.1
เชื่อ	3800.5
กิจกรรม	3776.2
เกษตรกร	3740.5
ตัวเอง	3735.7
พ.ศ.	3727.6
ตลอด	3722.7
ให้การ	3703.3
ชื่อ	3701.7
ดำเนิน	3696.8
หลัก	3696.8
พ.ต.อ.	3693.6
มากขึ้น	3692.0
ชั้น	3692.0
11	3687.1
การประชุม	3679.0
อัน	3672.5
หญิง	3633.7
ดำเนินคดี	3632.1
สมาคม	3628.8
ป.	3622.3
ผู้อำนวยการ	3617.5
เพิ่มขึ้น	3617.5
ร่าง	3607.8
ฐานะ	3606.1
นาน	3606.1
เหตุการณ์	3604.5
นักท่องเที่ยว	3601.3
มกราคม	3596.4
เอ	3585.1
แสดง	3581.9
นัด	3570.5
ชัดเจน	3570.5
รายการ	3562.4
ประยุทธ์	3555.9
อาจจะ	3552.7
ตำแหน่ง	3538.1
เดียว	3509.0
การทำงาน	3509.0
บอ	3507.4
น	3494.4
ประเด็น	3463.6
สิงหาคม	3441.0
การแข่งขัน	3432.9
อาคาร	3431.3
ครอบครัว	3431.3
จริง	3418.3
เป็นเรื่อง	3410.2
พ.ร.บ.	3402.1
กระทรวง	3392.4
คำสั่ง	3384.3
พนักงานสอบสวน	3369.7
ใด	3366.5
จัดการ	3361.6
พยายาม	3360.0
ธนาคาร	3322.8
แค่	3319.5
13	3319.5
ร้าน	3305.0
พงษ์	3301.7
ม.	3298.5
ตุลาคม	3296.9
มิถุนายน	3288.8
พา	3277.4
สถานการณ์	3275.8
รางวัล	3267.7
ประจำ	3258.0
นักเรียน	3256.4
รายได้	3254.8
ได้แก่	3249.9
ยังคง	3249.9
14	3241.8
บุญ	3238.6
ทรง	3235.3
ต่าง	3235.3
21	3230.5
คุณภาพ	3225.6
ออกจาก	3209.4
ที่เกิดเหตุ	3196.5
ร่างรัฐธรรมนูญ	3196.5
ต่อมา	3194.8
คนร้าย	3191.6
พร	3190.0
สน.	3175.4
ขนาด	3173.8
ก็ได้	3172.2
เกิดเหตุ	3168.9
พูด	3160.8
ธันวาคม	3157.6
รุ่น	3156.0
คำ	3152.7
หลักฐาน	3152.7
25	3139.8
พฤศจิกายน	3131.7
อื่น	3130.1
ตร.	3120.4
กอง	3115.5
บริหาร	3110.6
ที่อยู่	3084.7
อื่นๆ	3078.3
เทคโนโลยี	3076.6
สูงสุด	3076.6
24	3076.6
วิ	3068.5
ยิ่ง	3063.7
สื่อ	3060.4
สาขา	3060.4
ป่า	3055.6
แม้	3054.0
18	3023.2
เครื่อง	3021.6
16	3021.6
ต่างประเทศ	3020.0
ลักษณะ	3010.2
เพื่อน	3005.4
ไหน	3003.8
เข้าร่วม	3000.5
ตามที่	2995.7
น้อง	2987.6
ผลกระทบ	2987.6
ยื่น	2986.0
กลับมา	2974.6
พรรคการเมือง	2971.4
เหมือน	2966.5
สหรัฐ	2960.0
ก่อสร้าง	2953.6
ความปลอดภัย	2950.3
สมาชิก	2943.9
แก้ไข	2932.5
บ้าง	2932.5
ตอนนี้	2932.5
ข้อ	2922.8
กรกฎาคม	2921.2
ล	2905.0
กันยายน	2901.8
ราช	2898.5
กรรมการ	2892.0
แต่ละ	2887.2
เกม	2883.9
ชีวิต	2877.5
องค์กร	2872.6
เหลือ	2872.6
น่าจะ	2869.4
ทำการ	2862.9
เมตร	2862.9
สภาพ	2854.8
ข้าราชการ	2846.7
มูลค่า	2845.1
คนไทย	2840.2
เร่ง	2830.5
จำเลย	2827.3
อาทิ	2827.3
กกต.	2827.3
กุล	2814.3
ถือว่า	2804.6
อีกครั้ง	2798.1
อาวุธ	2794.9
เครือข่าย	2791.6
พอ	2791.6
ที่มา	2791.6
100	2790.0
รู้สึก	2788.4
มอบ	2775.5
พี	2770.6
ประเภท	2769.0
สุขภาพ	2767.4
ผู้ประกอบการ	2765.7
คลอง	2765.7
2561	2759.3
กทม.	2759.3
อาการ	2759.3
กรม	2756.0
แสน	2752.8
ยาเสพติด	2747.9
ร้อยละ	2747.9
ความมั่นคง	2744.7
ความเสียหาย	2739.8
คู่	2736.6
ปราบปราม	2736.6
พิธี	2730.1
ญี่ปุ่น	2728.5
สภา	2726.9
หนังสือ	2717.2
จ่าย	2713.9
แผน	2712.3
อย่า	2710.7
ส่งผล	2710.7
หมู่บ้าน	2702.6
ยิง	2696.1
สนช	2691.2
กา	2691.2
ภายใต้	2676.7
กีฬา	2673.4
จำหน่าย	2671.8
ประชุม	2670.2
17	2657.2
กล่าวถึง	2655.6
อำนาจ	2650.8
ห้อง	2647.5
กรุงเทพฯ	2645.9
งบประมาณ	2639.4
วิ่ง	2637.8
สอง	2634.6
ฐาน	2628.1
เร็ว	2621.6
ผลิตภัณฑ์	2616.8
รายละเอียด	2611.9
ทุจริต	2610.3
การเมือง	2607.0
ประสาน	2598.9
อยู่แล้ว	2597.3
สุด	2592.5
นครราชสีมา	2589.2
ปิด	2586.0
ปลูก	2584.4
พล.ต.ต.	2582.8
19	2581.1
หมด	2579.5
สอบถาม	2579.5
รูปแบบ	2569.8
มาตรการ	2569.8
ผบ	2568.2
แพทย์	2566.6
ยอมรับ	2552.0
ประชามติ	2547.1
22	2537.4
ขั้นตอน	2535.8
ผลงาน	2532.6
สั่ง	2529.3
เจริญ	2527.7
ลดลง	2526.1
แก้ว	2518.0
อัตรา	2509.9
พร้อมด้วย	2508.3
นักศึกษา	2505.0
สาว	2493.7
ที่ดิน	2492.1
ผกก.	2488.8
คะแนน	2488.8
รถจักรยานยนต์	2484.0
ศพ	2477.5
นิ	2474.3
เลขที่	2472.6
มีปัญหา	2472.6
ตอน	2471.0
ผู้เสียชีวิต	2450.0
นับ	2446.7
ภายหลัง	2440.3
นพ.	2437.0
จนถึง	2435.4
ข้อหา	2435.4
เอกสาร	2435.4
ไร่	2433.8
รัตน์	2430.5
ปรากฏ	2428.9
ตำบล	2427.3
23	2424.1
ค่า	2422.4
ทั่วประเทศ	2417.6
50	2416.0
สถาบัน	2411.1
ให้บริการ	2409.5
ดำ	2407.9
ผบ.	2406.3
นั่ง	2406.3
เยาวชน	2404.6
สุดท้าย	2399.8
ผู้นำ	2399.8
ศึกษา	2399.8
ควบคุม	2398.2
60	2390.1
หน่วย	2380.3
ถือเป็น	2380.3
ฝน	2377.1
นำมา	2377.1
พนักงาน	2377.1
แนว	2377.1
ประกอบด้วย	2375.5
เกาะ	2369.0
ชนะ	2367.4
พันธุ์	2367.4
สมเด็จ	2362.5
โพสต์	2360.9
แนวทาง	2360.9
ที่ประชุม	2359.3
ใกล้	2359.3
คืน	2357.7
ปกติ	2356.1
ชม	2354.4
ส่วนใหญ่	2352.8
สาเหตุ	2349.6
ฟุตบอล	2346.3
0	2344.7
เข้าใจ	2344.7
มือ	2343.1
ใส่	2341.5
ข้อเท็จจริง	2339.9
ก่อนหน้านี้	2331.8
ต่อว่า	2330.1
มาตรฐาน	2322.1
โอกาส	2320.4
พล.ต.อ.	2315.6
ขับเคลื่อน	2314.0
ให้ได้	2312.3
กรุงเทพมหานคร	2310.7
ช้าง	2307.5
ผู้บริหาร	2302.6
ตอบ	2301.0
ตา	2289.7
27	2284.8
แต่งตั้ง	2284.8
พูดคุย	2280.0
ข้อความ	2278.3
เส้นทาง	2278.3
ได้ที่	2275.1
ก่อเหตุ	2273.5
เสียง	2267.0
รี	2265.4
หน้าที่	2265.4
26	2262.1
ปืน	2260.5
ชี้แจง	2260.5
แก้ไขปัญหา	2258.9
วาง	2257.3
การผลิต	2257.3
ผิด	2250.8
พวก	2245.9
ไม่ต้อง	2244.3
ต้น	2244.3
ตัน	2231.4
แทน	2228.1
เรียน	2226.5
ความร่วมมือ	2218.4
แรงงาน	2216.8
เดียวกัน	2215.2
ขณะ	2215.2
ทรัพย์สิน	2211.9
มหา	2211.9
สำนัก	2208.7
กิจการ	2207.1
แน่นอน	2205.5
ศธ	2203.8
28	2200.6
ท้องถิ่น	2199.0
เปลี่ยน	2199.0
สอบ	2195.7
ยึด	2195.7
ธรรม	2195.7
ฝั่ง	2192.5
มิ	2192.5
รัก	2190.9
อาชีพ	2181.2
เลขาธิการ	2177.9
ที	2176.3
ลา	2173.1
สุข	2171.5
อังกฤษ	2168.2
เข้าสู่	2168.2
นาที	2165.0
ใต้	2163.4
โฆษก	2158.5
เธอ	2158.5
เป้าหมาย	2156.9
ตรง	2153.6
มหาชน	2150.4
ท	2148.8
ราชการ	2145.5
พ.ต.ท.	2145.5
_	2143.9
สถานี	2143.9
หลบหนี	2142.3
ชั่วโมง	2132.6
สัปดาห์	2129.4
หัว	2126.1
ความสงบ	2124.5
ทั่วไป	2124.5
แบ่ง	2122.9
การลงทุน	2118.0
ขยาย	2116.4
ปล่อย	2114.8
ช่อง	2114.8
โอชา	2114.8
ยาง	2105.1
ตก	2101.8
ผู้เสียหาย	2101.8
บัตร	2101.8
ความเห็น	2100.2
ตามกฎหมาย	2100.2
ลงมา	2097.0
อุตสาหกรรม	2093.7
ระยะเวลา	2092.1
ครม.	2092.1
ประตู	2085.6
โรงแรม	2077.5
ได้รับบาดเจ็บ	2077.5
เจ้าของ	2072.7
ถวาย	2072.7
เอส	2072.7
จัดทำ	2069.4
ออนไลน์	2064.6
เสีย	2063.0
โอ	2063.0
กิน	2061.3
ส่วนตัว	2054.9
ผลิต	2053.3
ขับ	2050.0
ปฏิบัติ	2048.4
ยาว	2048.4
29	2048.4
ภาคใต้	2046.8
วัย	2046.8
หารือ	2045.2
เหล่านี้	2040.3
สุวรรณ	2038.7
อา	2038.7
กระบวนการ	2037.1
การบริหาร	2037.1
ว	2033.8
ทันที	2030.6
พร้อมกับ	2030.6
ท่า	2029.0
มูลนิธิ	2020.9
ความคืบหน้า	2017.6
แฟน	2011.1
สงขลา	2009.5
ปริมาณ	2007.9
ฟัง	2007.9
พระองค์	2003.1
หนอง	1998.2
2558	1996.6
พงศ์	1995.0
ถือ	1993.3
วงศ์	1986.9
จี	1985.2
31	1985.2
อุบัติเหตุ	1983.6
ทำหน้าที่	1983.6
การนำ	1982.0
โต	1982.0
ความผิด	1975.5
ศิ	1973.9
จอด	1970.7
การปฏิรูป	1969.0
เรียบร้อย	1964.2
นะ	1964.2
เลือกตั้ง	1959.3
ไอ	1957.7
เจอ	1954.5
แชมป์	1952.9
เติบโต	1952.9
พื้น	1951.2
ภาครัฐ	1949.6
เชียงใหม่	1941.5
ลิ	1936.7
ทำได้	1936.7
สวน	1933.4
สนใจ	1931.8
ขาว	1931.8
รองรับ	1925.3
ร.	1923.7
จบ	1922.1
สั่งการ	1922.1
ใช้เวลา	1917.2
คลิป	1912.4
นายก	1909.1
สัมภาษณ์	1907.5
เกษตร	1907.5
บิน	1905.9
แจ้งความ	1905.9
สหรัฐอเมริกา	1905.9
ภูเก็ต	1902.7
อุปกรณ์	1899.4
ทางการเมือง	1896.2
เรือ	1896.2
เน้น	1896.2
เช่นกัน	1892.9
เหมาะสม	1891.3
ว่าด้วย	1888.1
ผู้โดยสาร	1884.8
บิ๊ก	1884.8
น้ำท่วม	1883.2
หนัก	1883.2
จริงๆ	1880.0
อัยการ	1876.7
ขอบคุณ	1875.1
ป.ป.ช.	1873.5
เสร็จ	1865.4
ทำให้เกิด	1862.2
สืบสวน	1858.9
ห้าม	1858.9
นี่	1854.1
การท่องเที่ยว	1854.1
เก่า	1852.5
อาศัย	1852.5
ตัด	1852.5
ดีขึ้น	1844.4
ปลัด	1841.1
ทางการ	1841.1
ผอ.	1837.9
การค้า	1836.3
แบบนี้	1831.4
สิ่งแวดล้อม	1829.8
วิธี	1829.8
ทั้งสอง	1826.6
ผู้บริโภค	1824.9
กรอบ	1816.8
แต่อย่างใด	1812.0
ระเบิด	1812.0
บัญชี	1810.4
ส.ส.	1803.9
นวัตกรรม	1799.0
ลงทุน	1799.0
สนาม	1799.0
ใบ	1799.0
โรค	1799.0
อีกด้วย	1797.4
น่า	1797.4
40	1795.8
ในอนาคต	1792.5
ร	1792.5
มอง	1792.5
การพิจารณา	1787.7
เฟซบุ๊ก	1787.7
แรง	1787.7
พลังงาน	1786.1
เอกชน	1786.1
นอกจาก	1784.4
บี	1784.4
อธิบดี	1784.4
ครบ	1784.4
นอก	1781.2
ขาด	1779.6
เผยแพร่	1776.4
ประชาธิปไตย	1774.7
สถานที่	1774.7
ถูกต้อง	1771.5
พ่อ	1768.3
ความต้องการ	1768.3
ภูมิภาค	1760.2
วร	1756.9
ดร.	1755.3
บก	1755.3
พัน	1753.7
ซิ	1750.4
ติดต่อ	1750.4
ทุกอย่าง	1748.8
มนุษย์	1747.2
ยุทธศาสตร์	1745.6
ตัวแทน	1744.0
ชน	1744.0
วัฒนธรรม	1740.7
ศ.	1739.1
ช่วยกัน	1737.5
มองว่า	1731.0
ไม้	1731.0
ผู้ว่าราชการจังหวัด	1729.4
ทั้งสิ้น	1729.4
ได้มา	1729.4
ครับ	1727.8
ชอบ	1726.2
ปฏิบัติหน้าที่	1726.2
ยอด	1726.2
จับ	1724.5
ยาก	1716.4
ยู	1716.4
คนใน	1706.7
ดัง	1703.5
บรรยากาศ	1701.9
นำเสนอ	1701.9
คุ้มครอง	1701.9
เอเชีย	1700.2
กก.	1697.0
สมัย	1690.5
นางสาว	1684.1
กรุง	1682.4
สะพาน	1680.8
ยั่งยืน	1680.8
แข่งขัน	1677.6
รูป	1676.0
เม	1674.3
เป็นที่	1672.7
รวบรวม	1672.7
ทะเล	1672.7
เกือบ	1666.2
ยก	1663.0
เชิญ	1659.8
รพ.	1659.8
ญาติ	1658.1
อุณหภูมิ	1658.1
เค	1654.9
ดา	1654.9
เป็นต้น	1645.2
เทศกาล	1645.2
โค	1645.2
แยก	1643.6
เอฟ	1632.2
ย้าย	1632.2
ชี้	1632.2
เฉพาะ	1630.6
ยี่ห้อ	1629.0
ปลอดภัย	1629.0
เต็ม	1627.4
เพิ่ง	1622.5
ดีเอสไอ	1620.9
ค	1620.9
การกระทำ	1617.7
แก้	1616.0
ขึ้นไป	1616.0
โดน	1616.0
เร	1611.2
กลายเป็น	1607.9
มีโอกาส	1607.9
แบรนด์	1604.7
หยุด	1604.7
สรุป	1603.1
เขียน	1601.5
เช้า	1599.9
ส่วนหนึ่ง	1596.6
เสียหาย	1590.1
รับผิดชอบ	1586.9
เรียกร้อง	1585.3
ม	1582.0
มากมาย	1582.0
รีบ	1580.4
โครง	1575.6
เล็ก	1573.9
วงษ์	1570.7
บังคับ	1569.1
ลีก	1569.1
เลี้ยง	1567.5
ทะเบียน	1564.2
ข้าง	1562.6
ประวิตร	1562.6
ทิ้ง	1562.6
ประธานาธิบดี	1561.0
ฟ้อง	1561.0
จัดงาน	1561.0
แดง	1561.0
เกียรติ	1559.4
มาถึง	1559.4
แม่น้ำ	1557.8
ชายแดน	1556.1
ชุมนุม	1556.1
รวดเร็ว	1556.1
ประชา	1554.5
ดิน	1552.9
ขอนแก่น	1552.9
วัฒน์	1551.3
ทั่วโลก	1549.7
เล่า	1548.0
ใดๆ	1546.4
เวที	1544.8
ปลา	1543.2
ศักยภาพ	1538.3
เป็นไป	1536.7
ดิ	1536.7
ขณะเดียวกัน	1535.1
อาเซียน	1530.2
หาย	1528.6
ติ	1527.0
นักการเมือง	1525.4
พร้อมทั้ง	1523.7
เผย	1520.5
ราว	1520.5
ชา	1520.5
โรงงาน	1518.9
ก้าว	1517.3
คา	1517.3
กระทำความผิด	1515.6
ออกแบบ	1510.8
กม.	1505.9
ใจ	1504.3
ปาก	1502.7
หลักสูตร	1501.1
ผู้ตาย	1499.5
ซอย	1497.8
อาจารย์	1489.7
ความพร้อม	1484.9
โร	1480.0
การเกษตร	1476.8
อากาศ	1476.8
ร้อง	1476.8
ลักษณ์	1476.8
ประสบการณ์	1471.9
2016	1471.9
หมื่น	1470.3
ประโยชน์	1470.3
หมาย	1468.7
โทรศัพท์	1468.7
รุนแรง	1468.7
สัญญา	1465.5
ความรู้	1462.2
ความเร็ว	1462.2
มาเลเซีย	1462.2
กองทุน	1459.0
ดังนี้	1459.0
นักกีฬา	1459.0
กระแส	1459.0
เชิง	1455.7
นนท์	1452.5
ผู้บัญชาการ	1452.5
ศ	1450.9
ขับรถ	1449.3
ทัน	1449.3
ยาบ้า	1447.6
องศาเซลเซียส	1446.0
เสริม	1444.4
ทำไม	1444.4
เห็นชอบ	1442.8
อ่าน	1441.2
รับฟัง	1439.5
ซ้าย	1439.5
รองนายกรัฐมนตรี	1437.9
หลังจากที่	1437.9
สว	1436.3
น้ำมัน	1433.1
ประ	1429.8
หวัง	1429.8
ยุค	1429.8
เพชร	1428.2
เทพ	1426.6
พัก	1423.3
แถลง	1416.9
เดินหน้า	1416.9
มีส่วน	1416.9
ยอม	1415.3
ระยะ	1415.3
จำเป็นต้อง	1415.3
เด	1413.6
กระทั่ง	1413.6
ทรัมป์	1412.0
ฟรี	1412.0
พิสูจน์	1410.4
เตือน	1410.4
ตัดสินใจ	1410.4
ผลผลิต	1405.5
สอน	1405.5
บุคลากร	1405.5
สื่อมวลชน	1405.5
ด่าน	1400.7
ชู	1400.7
ขนาดใหญ่	1400.7
เป็นไปตาม	1397.4
พี่น้อง	1394.2
วิธีการ	1389.3
รับทราบ	1389.3
โก	1389.3
แหล่ง	1389.3
จิต	1386.1
ผู้ช่วย	1384.5
ทรัพย์	1384.5
ปฏิบัติการ	1384.5
แก้ปัญหา	1384.5
ตรวจค้น	1384.5
คุย	1384.5
เส้น	1382.9
ด้วยกัน	1382.9
ชนิด	1379.6
เพลง	1374.8
ต่ำกว่า	1369.9
แนวคิด	1369.9
บางส่วน	1366.7
คณะรัฐมนตรี	1365.1
สาธารณะ	1361.8
แสง	1360.2
44	1358.6
ช่วงเวลา	1357.0
ไฟ	1357.0
นคร	1357.0
ธน	1355.3
ประวัติศาสตร์	1355.3
สงกรานต์	1353.7
ผู้ป่วย	1352.1
ชาวไทย	1348.9
ภรรยา	1348.9
หิน	1348.9
เต็มที่	1347.2
ขา	1345.6
ต	1344.0
จัดตั้ง	1340.8
พี่	1340.8
เดช	1339.1
เว็บไซต์	1335.9
เย็น	1331.1
ห่าง	1321.3
จัดกิจกรรม	1319.7
วัง	1318.1
เจ้า	1316.5
ท่องเที่ยว	1314.9
เริ่มต้น	1313.2
เหนือ	1310.0
ตำรวจภูธร	1301.9
พระบรมศพ	1300.3
ระบาย	1298.7
สา	1298.7
เชื่อมโยง	1297.0
พระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดช	1293.8
ร.ต.อ.	1292.2
โอน	1288.9
2017	1288.9
ปฏิเสธ	1287.3
ซา	1285.7
มั่นใจ	1285.7
ภาษี	1282.5
ปรับปรุง	1282.5
ลำปาง	1282.5
เอาไว้	1280.9
ดำรงตำแหน่ง	1272.8
กิโลเมตร	1272.8
ง่าย	1271.1
ด้วยว่า	1271.1
ขยะ	1269.5
พยานหลักฐาน	1269.5
แล้วเสร็จ	1266.3
คอย	1264.7
ทิพย์	1264.7
สิทธิ์	1264.7
พฤติกรรม	1263.0
ย่าน	1263.0
รู้จัก	1261.4
เอ็ม	1261.4
กิจ	1259.8
ศึก	1259.8
แล้วก็	1259.8
อ	1259.8
ร่างกาย	1259.8
การรักษา	1258.2
โด	1256.6
ระวัง	1253.3
ใกล้เคียง	1251.7
พล.ต.ท.	1250.1
เยอะ	1250.1
